Team,Scorer,Goals
Tottenham,Rodrigo Bentancur,2
Tottenham,Son Heung-min,7
Tottenham,Vitaly Janelt (OG),1
Tottenham,Wilson Odobert,1
Tottenham,Yves Bissouma,2
West Ham,Aaron Wan-Bissaka,2
West Ham,Andrew Robertson (OG),1
West Ham,Carlos Soler,1
West Ham,Crysencio Summerville,1
West Ham,Danny Ings,1
West Ham,Emerson Palmieri,2
West Ham,James Ward-Prowse,1
West Ham,Jannik Vestergaard (OG),1
West Ham,Jarrod Bowen,13
West Ham,Lucas Paquetá,4
West Ham,Michail Antonio,1
West Ham,Mohammed Kudus,5
West Ham,Niclas Füllkrug,3
West Ham,Rúben Dias (OG),1
West Ham,Tomá Sou?ek,9
Wolves,Djed Spence (OG),1
Wolves,Emmanuel Agbadou,1
Wolves,Gonçalo Guedes,2
Wolves,Hwang Hee-chan,2
Wolves,Jean-Ricner Bellegarde,2
Wolves,João Gomes,3
Wolves,Jørgen Strand Larsen,14
Wolves,Mario Lemina,1
Wolves,Marshall Munetsi,2
Wolves,Matheus Cunha,15
Wolves,Matt Doherty,2
Wolves,Pablo Sarabia,3
Wolves,Rayan Aït-Nouri,4
Wolves,Rodrigo Gomes,2
