Team,Round,Goals_Conceded
Crystal Palace,Matchweek 12,2
Crystal Palace,Matchweek 13,1
Crystal Palace,Matchweek 15,2
Crystal Palace,Matchweek 16,1
Crystal Palace,Matchweek 17,5
Crystal Palace,Matchweek 19,1
Crystal Palace,Matchweek 2,2
Crystal Palace,Matchweek 20,1
Crystal Palace,Matchweek 23,2
Crystal Palace,Matchweek 25,2
Crystal Palace,Matchweek 27,1
Crystal Palace,Matchweek 29,5
Crystal Palace,Matchweek 3,1
Crystal Palace,Matchweek 30,1
Crystal Palace,Matchweek 31,1
Crystal Palace,Matchweek 32,5
Crystal Palace,Matchweek 34,2
Crystal Palace,Matchweek 35,1
Crystal Palace,Matchweek 37,2
Crystal Palace,Matchweek 38,1
Crystal Palace,Matchweek 4,2
Crystal Palace,Matchweek 6,2
Crystal Palace,Matchweek 7,1
Crystal Palace,Matchweek 8,1
Everton,Matchweek 1,3
Everton,Matchweek 10,1
Everton,Matchweek 13,4
Everton,Matchweek 15,2
Everton,Matchweek 18,1
Everton,Matchweek 19,2
Everton,Matchweek 2,4
Everton,Matchweek 20,1
Everton,Matchweek 21,1
Everton,Matchweek 22,2
Everton,Matchweek 25,1
Everton,Matchweek 26,2
Everton,Matchweek 27,1
Everton,Matchweek 28,1
Everton,Matchweek 29,1
Everton,Matchweek 3,3
Everton,Matchweek 30,1
Everton,Matchweek 31,1
Everton,Matchweek 33,2
Everton,Matchweek 34,1
Everton,Matchweek 35,2
Everton,Matchweek 36,1
Everton,Matchweek 4,3
Everton,Matchweek 5,1
Everton,Matchweek 6,1
Everton,Matchweek 9,1
Fulham,Matchweek 1,1
Fulham,Matchweek 10,1
Fulham,Matchweek 12,4
Fulham,Matchweek 13,1
Fulham,Matchweek 14,1
Fulham,Matchweek 15,1
Fulham,Matchweek 16,2
Fulham,Matchweek 18,1
Fulham,Matchweek 19,2
Fulham,Matchweek 2,1
Fulham,Matchweek 20,2
Fulham,Matchweek 21,3
Fulham,Matchweek 23,1
Fulham,Matchweek 24,1
Fulham,Matchweek 25,1
Fulham,Matchweek 26,2
Fulham,Matchweek 27,1
Fulham,Matchweek 28,2
Fulham,Matchweek 3,1
Fulham,Matchweek 30,2
Fulham,Matchweek 31,2
Fulham,Matchweek 32,1
Fulham,Matchweek 33,2
Fulham,Matchweek 34,1
Fulham,Matchweek 35,1
Fulham,Matchweek 36,3
Fulham,Matchweek 37,2
Fulham,Matchweek 38,2
Fulham,Matchweek 4,1
Fulham,Matchweek 5,1
Fulham,Matchweek 7,3
Fulham,Matchweek 8,3
Fulham,Matchweek 9,1
Ipswich Town,Matchweek 1,2
Ipswich Town,Matchweek 10,1
Ipswich Town,Matchweek 11,1
Ipswich Town,Matchweek 12,1
Ipswich Town,Matchweek 13,1
Ipswich Town,Matchweek 14,1
Ipswich Town,Matchweek 15,2
Ipswich Town,Matchweek 16,1
Ipswich Town,Matchweek 17,4
Ipswich Town,Matchweek 18,1
Ipswich Town,Matchweek 2,4
Ipswich Town,Matchweek 20,2
Ipswich Town,Matchweek 21,2
Ipswich Town,Matchweek 22,6
Ipswich Town,Matchweek 23,4
