,Metric,Correlation,Genre
6,instrumentalness,-0.02290217537879653,sad
7,liveness,0.09809728716281631,sad
8,valence,0.07871818339073333,sad
9,tempo,-0.04798142732072446,sad
0,duration_ms,-0.08318353934289356,singer-songwriter
1,danceability,-0.04284158624432598,singer-songwriter
2,energy,0.12954636052879032,singer-songwriter
3,loudness,0.10346551407346588,singer-songwriter
4,speechiness,0.12710990024475458,singer-songwriter
5,acousticness,-0.13472653065499735,singer-songwriter
6,instrumentalness,0.0037468358075311904,singer-songwriter
7,liveness,0.0755728049289198,singer-songwriter
8,valence,0.041812128216451035,singer-songwriter
9,tempo,-0.10967402551285792,singer-songwriter
0,duration_ms,-0.10702464477332549,anime
1,danceability,-0.023880489591759667,anime
2,energy,-0.018526946523117538,anime
3,loudness,0.00043264952448137913,anime
4,speechiness,-0.1097873428975863,anime
5,acousticness,-0.07847449544609952,anime
6,instrumentalness,0.01992554847519502,anime
7,liveness,-0.12203113018231385,anime
8,valence,0.02203470061788699,anime
9,tempo,-0.0108500087717656,anime
0,duration_ms,-0.012632907179997396,dancehall
1,danceability,0.061830133956205235,dancehall
2,energy,-0.10745839479034505,dancehall
3,loudness,-0.020895303128632112,dancehall
4,speechiness,-0.1350292142852253,dancehall
5,acousticness,0.00832525408299908,dancehall
6,instrumentalness,0.0843501390745414,dancehall
7,liveness,-0.05505077017514789,dancehall
8,valence,-0.00595986893040433,dancehall
9,tempo,0.0353503101630529,dancehall
0,duration_ms,-0.002200352875237403,punk
1,danceability,-0.06175293247309178,punk
2,energy,0.05384222523528611,punk
3,loudness,0.06970690338179766,punk
4,speechiness,0.005666091175227489,punk
5,acousticness,-0.0766860497176349,punk
6,instrumentalness,0.08989242493342785,punk
7,liveness,0.04009761233439411,punk
8,valence,-0.014151913712861957,punk
9,tempo,0.010241034882330403,punk
0,duration_ms,-0.041653295070795036,swedish
1,danceability,0.08378125658004971,swedish
2,energy,0.15645203146161865,swedish
3,loudness,0.15222383216620694,swedish
4,speechiness,-0.04431194727504431,swedish
5,acousticness,-0.11597868255848261,swedish
6,instrumentalness,-0.09118843747132598,swedish
7,liveness,0.05553096991363411,swedish
8,valence,0.011250287542902518,swedish
9,tempo,-0.012519839083367098,swedish
0,duration_ms,-0.03808049252156543,acoustic
1,danceability,0.03718806489898065,acoustic
2,energy,-0.2701090170812632,acoustic
3,loudness,-0.20700904829668076,acoustic
4,speechiness,-0.12959306621450387,acoustic
5,acousticness,0.20765525006886038,acoustic
6,instrumentalness,0.0025899052849546918,acoustic
7,liveness,-0.12679239956232868,acoustic
8,valence,-0.2275023006201504,acoustic
9,tempo,-0.015923879531571438,acoustic
0,duration_ms,-0.03136078818786669,brazil
1,danceability,0.03001970930680983,brazil
2,energy,-0.019928333057871485,brazil
3,loudness,-0.014308356548525228,brazil
4,speechiness,0.01352468737174872,brazil
5,acousticness,-0.027149273818266276,brazil
6,instrumentalness,0.11207671603855643,brazil
7,liveness,-0.004472144806453582,brazil
8,valence,-0.05709599581922696,brazil
9,tempo,0.03204294644709832,brazil
0,duration_ms,-0.07314559059145882,progressive-house
1,danceability,0.007132858418974197,progressive-house
2,energy,-0.03678617197491877,progressive-house
3,loudness,0.10033443840052582,progressive-house
4,speechiness,-0.0001787599490992382,progressive-house
5,acousticness,0.05940990738251362,progressive-house
6,instrumentalness,-0.10087116016205526,progressive-house
7,liveness,0.04818213492100577,progressive-house
8,valence,0.046424579537178726,progressive-house
9,tempo,-0.05294921349072346,progressive-house
0,duration_ms,0.18532137364514084,power-pop
1,danceability,0.20454190074705966,power-pop
2,energy,-0.1349647463085723,power-pop
3,loudness,-0.058124794332444274,power-pop
4,speechiness,-0.10919296790727033,power-pop
5,acousticness,0.03167140765228077,power-pop
6,instrumentalness,-0.07704832281279964,power-pop
7,liveness,-0.041502532080042565,power-pop
8,valence,0.021928972034692813,power-pop
9,tempo,-0.0863210233002972,power-pop
0,duration_ms,-0.167870123042401,spanish
1,danceability,0.16172915087034992,spanish
2,energy,-0.01695304695275665,spanish
3,loudness,0.13232828064207752,spanish
4,speechiness,-0.10340965782232732,spanish
5,acousticness,-0.10448812815511015,spanish
6,instrumentalness,-0.05844771666442785,spanish
7,liveness,-0.11620611252096685,spanish
8,valence,0.04664223211481586,spanish
9,tempo,0.04712987198712522,spanish
0,duration_ms,-0.1917586654979912,rockabilly
1,danceability,-0.11985008158386375,rockabilly
2,energy,-0.4100492421424948,rockabilly
3,loudness,-0.33834811904968876,rockabilly
4,speechiness,-0.050736578841580324,rockabilly
5,acousticness,0.4297503674695341,rockabilly
6,instrumentalness,0.031508107683485914,rockabilly
7,liveness,-0.06664082227428185,rockabilly
8,valence,-0.1290401070377523,rockabilly
9,tempo,-0.11567501529512504,rockabilly
0,duration_ms,0.16112884943771114,hardcore
1,danceability,0.25119958773011153,hardcore
2,energy,-0.18426627144629404,hardcore
3,loudness,0.010012181222926124,hardcore
4,speechiness,0.19351827920874032,hardcore
5,acousticness,0.1805750135900588,hardcore
6,instrumentalness,0.0010882312340578788,hardcore
7,liveness,0.016023728582594543,hardcore
8,valence,0.08827736386814515,hardcore
9,tempo,-0.14453440479734345,hardcore
0,duration_ms,0.02263869110611931,pop-film
1,danceability,0.13850097042418222,pop-film
2,energy,0.018011937142026545,pop-film
3,loudness,0.013599757151476124,pop-film
4,speechiness,-0.030241739289078574,pop-film
5,acousticness,-0.14692289966821345,pop-film
6,instrumentalness,0.0002584231157132205,pop-film
7,liveness,-0.17523878357607214,pop-film
8,valence,-0.054038766467379665,pop-film
9,tempo,0.03937574708771153,pop-film
0,duration_ms,0.03684455031181581,grunge
1,danceability,-0.010878899595037834,grunge
2,energy,-0.14740492924172796,grunge
3,loudness,-0.07201147033410554,grunge
4,speechiness,-0.0960803085317464,grunge
5,acousticness,0.07625473350875311,grunge
6,instrumentalness,0.0008024319141065576,grunge
7,liveness,-0.18015325872074098,grunge
8,valence,-0.028102802444994062,grunge
9,tempo,-0.03362935173356221,grunge
0,duration_ms,-0.03571208513164888,ambient
1,danceability,-0.011922576037338086,ambient
2,energy,-0.04160455708170273,ambient
3,loudness,-0.013953812756700639,ambient
4,speechiness,-0.04156020909895809,ambient
5,acousticness,0.10384185112482137,ambient
6,instrumentalness,-0.06797660215430844,ambient
7,liveness,-0.030705303140034928,ambient
8,valence,0.07540560256333073,ambient
9,tempo,0.007985576757510146,ambient
0,duration_ms,-0.056590049900041,french
1,danceability,0.058909039946025046,french
2,energy,0.01613935424601169,french
3,loudness,0.004062000940285546,french
4,speechiness,-0.2503370839896037,french
5,acousticness,-0.06573837896037399,french
6,instrumentalness,0.17246031446678703,french
7,liveness,-0.08197674936635911,french
8,valence,-0.24487650874808323,french
9,tempo,-0.04800397556685643,french
0,duration_ms,-0.012340928708366877,punk-rock
1,danceability,-0.03768531053097168,punk-rock
2,energy,0.01853116851968107,punk-rock
3,loudness,0.09315459123542058,punk-rock
4,speechiness,0.004781238631135387,punk-rock
5,acousticness,-0.13043449267502863,punk-rock
6,instrumentalness,-0.02077576291349012,punk-rock
7,liveness,-0.08235872677075803,punk-rock
8,valence,0.0021062248471360578,punk-rock
9,tempo,0.07017557646772747,punk-rock
0,duration_ms,0.005656896562168952,psych-rock
1,danceability,0.052899064485276474,psych-rock
2,energy,-0.1786499999316985,psych-rock
3,loudness,-0.12003553609351793,psych-rock
4,speechiness,-0.09548057430513501,psych-rock
5,acousticness,0.017156148886280795,psych-rock
6,instrumentalness,0.018054996110935834,psych-rock
7,liveness,-0.061226096587196875,psych-rock
8,valence,-0.06621759467558293,psych-rock
9,tempo,-0.04353399556173512,psych-rock
0,duration_ms,-0.01824825896796145,chicago-house
1,danceability,-0.018637665004297223,chicago-house
2,energy,-0.06737836933409566,chicago-house
3,loudness,0.0250552051131448,chicago-house
4,speechiness,-0.06528565023038581,chicago-house
5,acousticness,0.03145945141518957,chicago-house
6,instrumentalness,-0.09688322683367269,chicago-house
7,liveness,0.07094705373224068,chicago-house
8,valence,-0.024936941308396864,chicago-house
9,tempo,-0.04179768185830218,chicago-house
0,duration_ms,-0.15629628334218834,j-pop
1,danceability,0.09361078585954043,j-pop
2,energy,0.16345867756127797,j-pop
3,loudness,0.1758407714861511,j-pop
4,speechiness,0.11498013146862598,j-pop
5,acousticness,-0.1958447600106034,j-pop
6,instrumentalness,-0.03159978034776342,j-pop
7,liveness,0.014779120024843223,j-pop
8,valence,0.10698914360487097,j-pop
9,tempo,0.08175421104706476,j-pop
0,duration_ms,-0.09347116822255794,songwriter
1,danceability,0.12207474052983139,songwriter
2,energy,-0.1433168730880134,songwriter
3,loudness,-0.10507313933887785,songwriter
4,speechiness,0.055500006068850034,songwriter
5,acousticness,0.2323981286893937,songwriter
6,instrumentalness,0.00508613354424094,songwriter
7,liveness,-0.038630270014074194,songwriter
8,valence,-0.13828089370843785,songwriter
9,tempo,0.055894088952368436,songwriter
0,duration_ms,0.1815736080085664,jazz
1,danceability,0.11719317262805846,jazz
2,energy,0.11221974559038955,jazz
3,loudness,0.09947652999142191,jazz
4,speechiness,0.012019446358539573,jazz
5,acousticness,-0.08730424245240184,jazz
6,instrumentalness,0.0691236473890953,jazz
7,liveness,-0.10367438851559198,jazz
8,valence,-0.032200414549581814,jazz
9,tempo,0.025723953423848825,jazz
0,duration_ms,-0.0316947647421152,j-rock
1,danceability,-0.05839737100028536,j-rock
2,energy,0.06479783601669918,j-rock
3,loudness,0.12728938645055246,j-rock
4,speechiness,0.03387548130836932,j-rock
5,acousticness,-0.11818260354372141,j-rock
6,instrumentalness,0.0593711470134611,j-rock
7,liveness,-0.076339445632624,j-rock
8,valence,-0.11687531251002167,j-rock
9,tempo,0.06859169608870387,j-rock
0,duration_ms,-0.13913482349132492,children
1,danceability,0.1390038031678437,children
2,energy,-0.19699739378738687,children
3,loudness,-0.10546966429201814,children
4,speechiness,-0.11438166518281917,children
5,acousticness,0.06953385775809427,children
6,instrumentalness,-0.09730436738858286,children
7,liveness,-0.04141703458133567,children
8,valence,0.10773402113103064,children
9,tempo,-0.014068715241717492,children
0,duration_ms,-0.10835875871313888,turkish
1,danceability,0.038883793011645996,turkish
2,energy,-0.023955809291122628,turkish
3,loudness,-0.021239746057180247,turkish
4,speechiness,0.0339815220702691,turkish
5,acousticness,-0.03351716148260666,turkish
6,instrumentalness,0.18334773730581988,turkish
7,liveness,-0.0026594657572639813,turkish
8,valence,-0.06632027392296494,turkish
9,tempo,-0.024637962536701377,turkish
0,duration_ms,0.008788428719491233,electronic
1,danceability,0.025738612176952877,electronic
2,energy,0.035841141073832454,electronic
3,loudness,0.07284569686492567,electronic
4,speechiness,-0.04503960232439325,electronic
5,acousticness,-0.09146132246667227,electronic
6,instrumentalness,0.049945111555325834,electronic
7,liveness,-0.03546479585594314,electronic
8,valence,-0.12620741489436457,electronic
9,tempo,0.009967597262621166,electronic
0,duration_ms,0.0032998261868254423,salsa
1,danceability,0.022112870273232145,salsa
2,energy,-0.03825914963127182,salsa
3,loudness,-0.010658653756093879,salsa
4,speechiness,0.03744373097194748,salsa
5,acousticness,-0.0585509417955709,salsa
6,instrumentalness,-0.036193836384822584,salsa
7,liveness,0.0022034472861598604,salsa
8,valence,-0.0652613551214437,salsa
9,tempo,-0.01952678442059079,salsa
0,duration_ms,-0.3658317507909635,deep-house
1,danceability,-0.15163893879078139,deep-house
2,energy,-0.05112699206324873,deep-house
3,loudness,0.06497118721596418,deep-house
4,speechiness,-0.03499568687239523,deep-house
5,acousticness,0.13877546724319598,deep-house
6,instrumentalness,-0.25787592108996776,deep-house
7,liveness,0.05325411975553322,deep-house
8,valence,-0.05845807410819688,deep-house
9,tempo,-0.10665150046683987,deep-house
0,duration_ms,-0.06634970693615047,rock-n-roll
1,danceability,0.05120963289518581,rock-n-roll
2,energy,0.011443550116707302,rock-n-roll
3,loudness,-0.051588716382770884,rock-n-roll
4,speechiness,-0.11093798695388728,rock-n-roll
5,acousticness,-0.01375768158343936,rock-n-roll
6,instrumentalness,-0.00204382222810646,rock-n-roll
7,liveness,-0.0016487525569483566,rock-n-roll
8,valence,0.0813128500992199,rock-n-roll
9,tempo,0.019837970353477875,rock-n-roll
0,duration_ms,-0.1332009829896099,industrial
1,danceability,0.08045531192245135,industrial
2,energy,-0.11866591264951389,industrial
