food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_grams,Fat_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Sodium_per_100g,Water_per_100g,Calories_100g_494
cream cheese,51,5.0,2.9,1.3,0.2,0.8,0.5,0.9,0.0,14.6,0.016,7.6,0.2,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0.0,0.0,0.1,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039,7.07,14.815999999999999,33.747300215982726,5.399568034557236,3.3747300215982725,6.07451403887689,0.0,0.10799136069114472,51.295896328293736,349.622030237581
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0.0,62.9,0.3,53.6,0.2,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0.0,0.0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1,86.9,22.324510932105866,3.567318757192175,3.1070195627157653,8.975834292289987,0.0,0.34522439585730724,61.6800920598389,251.09321058688144
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.0,0.9,3.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,8.8,40.90909090909091,10.227272727272727,38.63636363636363,9.090909090909092,1.1363636363636365,0.0,0.0,445.4545454545454
ricotta cheese,30,2.0,1.3,0.5,0.002,1.5,0.091,1.5,0.0,9.8,0.017,14.7,0.075,0.019,0.079,0.091,0.027,0.041,0.016,0.007,0.006,0.0,0.001,0.011,0.097,41.2,0.097,0.096,4.0,0.024,30.8,43.8,0.035,5.196,19.808,10.096930533117932,7.572697899838449,0.4594103392568659,7.572697899838449,0.0,0.08582390953150243,74.21243941841679,151.45395799676896
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0.0,8.1,0.046,10.0,0.016,0.08,0.062,0.049,0.026,0.08,0.1,0.003,0.0,0.036,0.009,0.019,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053,27.007,15.646,14.70024287357791,7.669691934040649,5.752268950530487,7.669691934040649,0.0,0.29400485747155825,63.914099450338746,193.65972133452638
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1.0,2.8,0.0,2.2,0.1,12.9,0.063,0.02,0.089,0.092,0.021,0.025,0.2,0.038,0.0,0.0,0.049,0.059,63.2,0.039,0.053,4.0,0.028,94.1,50.0,0.013,0.3,67.679,18.4,1.0869565217391306,7.608695652173914,5.434782608695652,15.217391304347828,0.0,0.5434782608695653,70.10869565217392,101.08695652173914
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0.0,30.8,0.2,9.3,0.061,0.021,0.072,0.078,0.004,0.043,0.2,0.051,0.0,0.034,0.035,0.048,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1,300.694,27.1,33.57933579335793,0.36900369003690037,0.36900369003690037,30.627306273062732,0.0,0.7380073800738007,34.31734317343174,426.1992619926199
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0.0,27.7,0.2,10.3,0.054,0.031,0.005,0.073,0.1,0.01,0.1,0.005,0.0,0.06,0.2,0.035,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1.0,215.53,27.200000000000003,34.19117647058824,3.308823529411765,0.3676470588235294,23.52941176470588,0.0,0.7352941176470588,37.86764705882353,415.07352941176475
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0.0,12.2,0.2,5.4,0.067,0.062,0.099,0.059,0.057,0.039,0.06,0.066,0.0,0.095,0.018,0.021,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5,224.777,17.146,26.245188382129943,3.499358450950659,0.2682841479062172,37.3264901434737,0.0,1.166452816983553,31.49422605855593,399.5100898168669
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0.0,5.2,0.008,1.5,0.064,0.058,0.026,0.045,0.059,0.055,0.025,0.029,0.0,0.073,0.078,0.004,53.2,0.046,0.03,2.1,0.002,38.0,4.3,0.087,0.1,56.38,4.696,27.683134582623513,4.258943781942079,1.8739352640545146,34.07155025553663,0.0,0.17035775127768316,31.94207836456559,402.47018739352643
parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075,1.4,0.0,4.3,0.043,1.1,0.017,0.003,0.015,0.091,0.081,0.077,0.057,0.077,0.007,0.0,0.002,0.014,0.012,42.7,0.094,0.094,1.7,0.026,31.4,9.0,0.038,3.745,4.718,29.673590504451035,14.836795252225517,1.58965663416702,29.673590504451035,0.0,0.9114031369224247,23.314963967782962,445.10385756676556
port salut cheese,465,37.2,22.0,12.3,1.0,0.8,0.8,31.4,0.0,162.4,0.7,60.0,0.4,0.012,0.035,0.067,0.3,0.019,0.3,0.08,0.0,0.057,0.3,0.094,858.0,0.062,0.6,31.7,0.095,475.2,179.5,0.015,3.4,928.4,130.89999999999998,28.41864018334607,0.6111535523300231,0.6111535523300231,23.9877769289534,0.0,0.5347593582887701,45.83651642475173,354.1634835752483
swiss cheese,98,7.7,4.6,2.0,0.3,0.4,0.0,6.7,0.0,23.3,0.057,9.4,0.069,0.008,0.027,0.008,0.018,0.058,0.1,0.036,0.0,0.016,0.2,0.056,222.5,0.026,0.024,8.3,0.062,143.5,18.0,0.031,1.1,237.396,24.257,31.743414272168856,1.6490085336191613,0.0,27.620892938120956,0.0,0.2349837160407305,38.751700540050294,402.77033433648023
goat cheese hard,128,10.1,7.0,2.3,0.2,0.6,0.6,8.6,0.0,29.7,0.076,8.2,0.1,0.071,0.035,0.093,0.3,0.7,0.1,0.007,0.0,0.044,0.083,0.039,253.3,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4,273.2,28.176,35.84611016467916,2.1294718909710393,2.1294718909710393,30.522430437251565,0.0,0.26973310618966495,29.102782509937537,453.2226007950028
gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7.0,0.0,31.9,0.2,11.6,0.053,0.016,0.042,0.01,0.009,0.081,0.011,0.053,0.0,0.04,0.026,0.074,196.0,0.013,0.06,8.1,0.08,152.9,33.9,0.05,1.1,211.424,27.700000000000003,27.797833935018048,2.166064981949458,2.166064981949458,25.27075812274368,0.0,0.7220216606498194,41.87725631768953,359.92779783393496
pepper jack cheese lucerne,75,6.0,4.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,44.44444444444444,0.0,0.0,37.03703703703704,18.51851851851852,0.0,0.0,548.1481481481482
gjetost cheese,1058,67.0,43.5,17.9,2.1,96.8,0.0,21.9,0.0,213.4,1.4,30.5,0.8,0.7,0.076,0.047,3.1,1.8,7.6,0.6,0.0,0.0,0.0,0.0,908.0,0.2,1.2,158.9,0.035,1007.9,3198.4,0.039,2.6,1095.7,217.60000000000002,30.790441176470583,44.48529411764705,0.0,10.064338235294116,0.0,0.6433823529411764,14.016544117647056,495.3124999999999
tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0.0,9.8,0.0,40.8,0.3,17.1,0.057,0.036,0.072,0.058,0.1,0.068,0.1,0.036,0.0,0.0,0.0,0.0,280.0,0.033,0.01,5.2,0.086,200.0,26.0,0.026,1.4,301.069,38.400000000000006,27.083333333333332,2.083333333333333,0.0,25.520833333333332,0.0,0.7812499999999998,44.53124999999999,354.1666666666667
goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031,6.1,0.0,22.4,0.1,12.9,0.1,0.013,0.011,0.086,0.2,0.3,0.03,0.087,0.0,0.078,0.082,0.046,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2,99.494,27.54,30.50108932461874,0.0326797385620915,0.11256354393609297,22.149600580973132,0.0,0.36310820624546114,46.84095860566449,363.23892519970957
brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7.0,0.0,28.2,0.2,12.3,0.016,0.042,0.059,0.074,0.1,0.085,0.086,0.033,0.0,0.042,0.072,0.064,202.2,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8,219.002,29.4,30.272108843537417,2.72108843537415,0.6802721088435375,23.80952380952381,0.0,0.6802721088435375,41.83673469387755,378.5714285714286
asadero cheese,402,31.9,20.3,9.1,1.0,3.2,3.2,25.5,0.0,118.7,0.7,47.6,0.098,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0.0,0.071,0.3,0.02,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4,808.175,112.1,28.456735057983945,2.8545941123996434,2.8545941123996434,22.747546833184657,0.0,0.6244424620874219,42.462087421944695,358.5191793041927
camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0.0,21.6,0.3,15.5,0.091,0.054,0.043,0.034,0.1,0.2,0.4,0.017,0.0,0.093,0.014,0.024,116.4,0.046,0.063,6.0,0.075,104.1,56.1,0.035,0.7,129.826,29.2,25.0,0.34246575342465757,0.34246575342465757,20.205479452054796,0.0,1.0273972602739725,53.082191780821915,307.1917808219178
provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4.0,0.6,27.9,0.0,62.2,1.0,57.2,0.2,0.05,0.063,0.079,0.4,0.2,0.5,0.061,0.0,0.027,0.2,0.076,854.3,0.077,0.6,31.6,0.096,560.5,155.9,0.054,3.6,906.9,110.6,17.99276672694394,3.616636528028933,0.5424954792043399,25.22603978300181,0.0,0.9041591320072333,51.71790235081375,277.30560578661846
roquefort cheese,314,26.0,16.4,7.2,1.1,1.7,0.0,18.3,0.0,76.5,1.5,33.5,0.2,0.092,0.037,0.002,0.5,0.6,1.5,0.1,0.0,0.0,0.0,0.0,562.7,0.005,0.5,25.5,0.036,333.2,77.4,0.081,1.8,609.4,81.0,32.098765432098766,2.0987654320987654,0.0,22.592592592592595,0.0,1.8518518518518516,41.358024691358025,387.65432098765433
queso blanco cheese,366,28.7,16.1,7.6,1.4,3.0,2.1,24.0,0.0,82.6,0.8,57.5,0.2,0.097,0.0,0.022,0.3,0.038,0.5,0.1,0.0,0.05,0.6,0.061,814.2,0.098,0.2,34.2,0.067,551.1,148.7,0.016,3.6,870.3,116.1,24.72006890611542,2.5839793281653747,1.8087855297157625,20.671834625322997,0.0,0.6890611541774333,49.52627045650302,315.50387596899225
queso seco cheese,315,23.6,13.3,6.2,1.2,2.0,0.5,23.8,0.0,75.7,1.8,40.9,0.2,0.038,0.0,0.01,0.2,0.027,0.4,0.049,0.0,0.032,0.5,0.045,641.2,0.091,0.2,26.2,0.083,460.8,112.5,0.048,3.2,691.0,92.6,25.485961123110158,2.1598272138228944,0.5399568034557236,25.70194384449244,0.0,1.943844492440605,44.16846652267819,340.8207343412528
goat cheese soft,75,6.0,4.1,1.4,0.1,0.0,0.3,5.2,0.0,13.0,0.1,17.2,0.049,0.057,0.037,0.012,0.1,0.1,0.2,0.036,0.0,0.092,0.01,0.093,39.6,0.2,0.5,4.5,0.026,72.4,7.4,0.014,0.3,51.311,28.799999999999997,20.833333333333336,0.0,1.0416666666666667,18.055555555555557,0.0,0.34722222222222227,59.72222222222222,259.7222222222223
mozzarella cheese,90,6.6,4.2,2.0,0.2,0.7,0.0,6.7,0.0,23.7,0.1,15.0,0.037,0.088,0.088,0.081,0.071,0.013,0.089,0.016,0.0,0.044,0.001,0.008,151.5,0.057,0.1,6.0,0.019,106.2,22.8,0.047,0.9,165.648,29.1,22.680412371134018,2.4054982817869415,0.0,23.02405498281787,0.0,0.3436426116838488,51.546391752577314,305.8419243986254
chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0.0,138.6,0.8,51.7,0.007,0.053,0.031,0.082,0.3,0.2,0.4,0.061,0.0,0.089,0.3,0.011,859.3,0.03,0.6,30.4,0.047,583.4,68.6,0.071,4.6,934.983,134.8,29.080118694362017,5.415430267062314,5.415430267062314,21.14243323442136,0.0,0.5934718100890208,38.353115727002965,367.9525222551929
limburger cheese,98,8.2,5.0,2.6,0.1,0.1,0.1,6.0,0.0,27.0,0.2,14.5,0.1,0.021,0.095,0.082,0.2,0.009,0.4,0.002,0.0,0.004,0.055,0.046,149.1,0.036,0.011,6.3,0.054,117.9,38.4,0.029,0.6,163.575,29.099999999999998,28.1786941580756,0.34364261168384885,0.34364261168384885,20.61855670103093,0.0,0.6872852233676977,49.82817869415808,337.4570446735395
muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0.0,126.7,0.8,55.1,0.4,0.016,0.009,0.085,0.4,0.1,0.3,0.072,0.0,0.065,0.3,0.056,946.4,0.008,0.5,35.6,0.093,617.8,176.9,0.059,3.7,1019.4,129.5,30.656370656370658,1.1583011583011582,1.1583011583011582,23.86100386100386,0.0,0.6177606177606177,42.54826254826255,375.984555984556
queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0.0,84.2,0.9,62.7,0.3,0.019,0.029,0.076,0.2,0.05,0.4,0.06,0.0,0.055,0.5,0.087,690.5,0.025,0.2,29.3,0.053,469.7,157.4,0.073,3.1,745.8,121.2,24.009900990099013,2.9702970297029703,2.31023102310231,18.234323432343235,0.0,0.7425742574257426,51.73267326732673,300.90759075907596
brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0.0,30.0,0.2,14.5,0.014,0.04,0.025,0.073,0.2,0.1,0.2,0.001,0.0,0.068,0.078,0.056,55.2,0.015,0.2,6.0,0.047,56.4,45.6,0.04,0.7,70.096,29.4,28.231292517006807,0.34013605442176875,0.34013605442176875,21.08843537414966,0.0,0.6802721088435375,49.31972789115647,339.795918367347
pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31.0,0.1,131.6,2.0,54.7,0.3,0.023,0.043,0.016,0.5,0.1,0.7,0.011,3.2,0.099,0.4,0.086,859.6,0.032,0.6,30.8,0.031,1041.6,226.8,0.089,4.2,940.9,134.8,32.418397626112764,1.780415430267062,0.6676557863501483,22.997032640949552,0.0741839762611276,1.4836795252225519,40.57863501483679,390.87537091988133
mexican cheese,316,21.7,13.0,5.6,0.8,3.8,0.6,27.7,0.0,69.4,0.9,54.0,0.2,0.091,0.027,0.05,0.3,0.017,0.0,0.04,0.0,0.087,0.2,0.073,1283.5,0.034,0.1,39.2,0.0,653.0,104.2,0.006,4.8,1337.0,108.69999999999999,19.963201471941126,3.4958601655933763,0.5519779208831647,25.48298068077277,0.0,0.8279668813247472,49.678012879484825,295.5841766329347
feta cheese,80,6.4,4.0,1.4,0.2,1.2,0.0,4.3,0.0,26.7,0.3,16.6,0.014,0.063,0.021,0.076,0.3,0.3,0.3,0.1,0.0,0.06,0.036,0.057,147.9,0.012,0.2,5.7,0.063,101.1,18.6,0.005,0.9,160.058,28.800000000000004,22.22222222222222,4.166666666666666,0.0,14.930555555555552,0.0,1.0416666666666665,57.638888888888886,276.38888888888886
mozzarella cheese fat free,159,0.0,0.0,0.0,0.0,4.0,1.7,35.8,2.0,20.3,0.8,68.0,0.1,0.079,0.011,0.025,0.3,0.1,0.0,0.055,0.0,0.0,0.2,0.018,1085.9,0.077,0.4,37.3,0.0,741.3,119.8,0.035,4.4,1128.2,112.3,0.0,3.561887800534283,1.5138023152270703,31.87889581478183,1.7809439002671414,0.7123775601068567,60.55209260908282,141.76313446126446
provolone cheese,463,35.1,22.5,9.8,1.0,2.8,0.7,33.8,0.0,91.1,1.2,54.1,0.3,0.013,0.017,0.005,0.4,0.2,0.6,0.052,0.0,0.028,0.3,0.001,997.9,0.011,0.7,37.0,0.033,654.7,182.2,0.017,4.3,1070.6,127.70000000000002,27.48629600626468,2.1926389976507434,0.5481597494126859,26.468285043069688,0.0,0.9397024275646044,42.364917776037586,362.02036021926386
anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0.0,138.6,1.5,50.2,0.098,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0.0,0.032,0.3,0.078,897.6,0.058,0.6,37.0,0.067,586.1,114.8,0.095,3.9,972.205,131.8,30.045523520485585,4.628224582701061,4.628224582701061,21.471927162367223,0.0,1.1380880121396053,38.08801213960546,374.81031866464343
honey,64,0.0,0.0,0.0,0.0,17.3,17.2,0.08,0.025,0.0,0.011,3.6,0.0,0.0,0.022,0.0,0.003,0.012,0.03,0.004,0.1,0.0,0.0,0.0,1.3,0.061,0.017,0.4,0.098,0.8,10.9,0.021,0.008,18.892,38.216,0.0,45.268997278626756,45.007326774126014,0.20933640360058614,0.06541762612518318,0.028783755495080596,9.420138162026376,181.91333472890938
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,0.045,0.3,0.0,0.003,11.3,0.0,0.078,0.02,0.0,0.053,0.092,0.005,0.057,0.1,0.0,0.06,0.075,2.8,0.085,0.025,0.8,0.093,1.6,18.2,0.078,0.095,11.836,27.311,0.2306762842810589,31.122990736333346,25.996851085643147,0.16476877448647065,1.098458496576471,0.01098458496576471,41.37527003771375,127.2271246018088
fruit jam,56,0.095,0.021,0.065,0.0,13.8,9.7,0.0,0.2,0.0,0.052,6.1,0.0,0.083,0.076,0.0,0.024,0.07,0.045,0.037,1.8,0.0,0.062,0.0,4.0,0.022,0.07,0.8,0.002,3.8,15.4,0.054,0.03,19.919,29.946999999999996,0.3172271012121415,46.08141049186898,32.39055665008181,0.0,0.6678465288676663,0.17364009750559323,20.36931913046382,187.1806858783852
chocolate hazelnut spread,100,5.5,5.3,0.0,0.0,11.5,10.0,1.0,1.0,0.0,0.099,0.2,0.0,0.005,0.02,0.042,0.036,0.072,0.1,0.056,0.0,0.0,0.9,0.071,20.0,0.061,0.8,11.8,0.2,28.1,75.3,0.021,0.2,39.8,29.299,18.771971739649818,39.25048636472235,34.130857708454215,3.4130857708454214,3.4130857708454214,0.3378954913136967,0.6826171541690843,339.6020341991195
peanut butter,88,7.4,1.4,3.1,1.7,3.6,1.0,3.3,0.9,0.0,0.085,0.2,0.0,0.0,0.081,0.063,0.0,0.041,2.0,0.2,0.078,0.0,0.0,0.9,0.0,8.1,0.079,0.3,26.9,0.2,50.3,88.8,0.044,15.268,16.485,44.889293296936614,21.83803457688808,6.066120715802245,20.01819836214741,5.45950864422202,0.5156202608431909,1.2132241431604491,571.4285714285714
peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,3.8,1.2,0.0,0.028,0.3,0.0,0.091,0.079,0.0,0.025,2.5,0.2,0.049,0.0,0.0,1.2,0.046,11.2,0.1,0.4,25.4,0.3,54.3,126.8,0.078,0.5,27.3,16.528,51.42787996127783,13.3107454017425,3.0251694094869315,22.991287512100676,7.260406582768636,0.16940948693126817,1.815101645692159,608.0590513068732
chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,10.1,0.2,31.4,0.4,32.1,0.076,0.06,0.048,0.064,0.003,1.5,0.2,0.016,0.0,0.0,0.0,0.0,9.0,0.049,0.5,6.7,0.083,49.8,59.4,0.029,0.6,31.972,55.2,17.753623188405797,4.166666666666666,0.5434782608695652,18.29710144927536,0.36231884057971014,0.7246376811594203,58.152173913043484,249.63768115942028
cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,17.0,0.0,216.0,1.2,140.4,0.7,0.071,0.027,0.011,0.5,2.3,0.0,0.051,0.0,0.091,1.8,0.098,170.4,0.02,2.7,14.4,0.0,218.4,268.8,0.065,1.2,267.8,244.0,28.114754098360656,3.4426229508196724,3.4426229508196724,6.967213114754098,0.0,0.4918032786885245,57.54098360655738,294.672131147541
tahini,86,7.2,1.0,2.7,3.2,3.9,0.0,2.7,1.4,0.0,0.098,0.5,0.0,0.2,0.034,0.0,0.086,0.9,0.1,0.036,0.0,0.0,0.0,0.0,63.0,0.2,0.4,14.4,0.2,112.8,62.1,0.0,0.7,78.6,15.798000000000002,45.575389289783516,24.686669198632735,0.0,17.09077098366882,8.861881250791239,0.6203316875553867,3.1649575895682993,577.2882643372578
orange marmalade,49,0.0,0.0,0.0,0.0,13.3,12.0,0.014,0.1,0.0,0.016,6.6,0.0,0.098,0.06,0.0,0.075,0.065,0.028,0.046,1.0,0.0,0.089,0.0,7.6,0.076,0.053,0.4,0.055,0.8,7.4,0.057,0.046,22.119,32.03,0.0,41.523571651576646,37.464876678114265,0.04370902279113331,0.3122073056509522,0.049953168904152356,20.605682172962844,166.26912269747112
american cheese spread,46,3.4,2.1,1.0,0.062,1.4,1.2,2.6,0.0,8.8,0.3,7.6,0.043,0.012,0.066,0.022,0.076,0.089,0.1,0.086,0.0,0.014,0.022,0.046,89.9,0.061,0.079,4.6,0.062,140.0,38.7,0.052,0.4,97.357,16.5,20.606060606060606,8.484848484848484,7.2727272727272725,15.75757575757576,0.0,1.8181818181818181,46.060606060606055,282.42424242424244
apricot jam,48,0.01,0.042,0.0,0.0,12.9,8.7,0.1,0.044,0.0,0.004,6.9,0.0,0.0,0.017,0.0,0.053,0.096,0.087,0.068,1.8,0.0,0.048,0.0,4.0,0.07,0.066,0.8,0.099,0.6,15.4,0.009,0.062,18.91,28.658,0.03489427036080676,45.013608765440715,30.358015213901872,0.34894270360806756,0.1535347895875497,0.013957708144322702,24.077046548956663,181.76425430944238
chunky peanut butter,94,8.0,1.2,3.7,2.2,3.5,1.3,3.8,1.3,0.0,0.03,0.2,0.0,0.018,0.094,0.0,0.013,2.2,0.2,0.072,0.0,0.0,1.0,0.016,7.2,0.002,0.3,25.6,0.3,51.0,119.2,0.045,0.4,24.1,18.130000000000003,44.125758411472695,19.305019305019304,7.170435741864313,20.959735245449526,7.170435741864313,0.16547159404302259,1.1031439602868172,558.1908439051296
ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0.0,2.4,0.0,9.2,0.2,8.9,0.03,0.0,0.094,0.035,0.066,0.3,0.098,0.041,0.0,0.0,0.0,0.0,32.6,0.087,0.1,2.7,0.063,74.3,24.3,0.065,0.3,38.238,14.600000000000001,19.178082191780817,2.054794520547945,0.0,16.43835616438356,0.0,1.36986301369863,60.95890410958904,246.57534246575335
chicken and rice casserole homade,27,1.0,0.0,0.0,0.0,2.4,0.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,17.543859649122805,42.10526315789473,0.0,35.08771929824561,5.263157894736842,0.0,0.0,466.66666666666663
picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0.0,4.2,0.0,10.6,0.3,16.9,0.0,0.1,0.005,0.004,0.01,0.6,0.2,0.083,0.0,0.025,0.0,0.0,13.2,0.078,0.3,4.2,0.094,35.0,74.8,0.025,0.6,23.7,27.4,17.153284671532848,4.744525547445256,0.0,15.328467153284672,0.0,1.094890510948905,61.67883211678832,234.67153284671534
corn tamale,309,12.0,4.4,4.0,2.6,44.3,12.3,5.8,5.3,0.0,0.5,101.8,0.0,0.098,0.0,0.0,0.023,2.2,0.6,0.3,0.0,0.0,0.7,0.052,39.8,0.02,0.9,48.1,0.4,154.4,308.8,0.075,1.0,108.1,182.0,6.593406593406594,24.34065934065934,6.758241758241759,3.1868131868131866,2.912087912087912,0.27472527472527475,55.934065934065934,169.45054945054946
baked potato with cheese sauce bacon,451,25.9,10.1,9.7,4.8,44.4,0.0,18.4,0.0,29.9,1.0,194.4,0.2,0.3,0.011,0.007,0.2,4.0,1.3,0.7,28.7,0.0,0.0,0.0,308.0,0.6,3.1,68.8,0.5,346.8,1178.1,0.01,2.2,428.7,284.1,9.116508271735304,15.628299894403378,0.0,6.47659274903203,0.0,0.3519887363604364,68.42661034846884,170.46814501935935
chinese egg roll,223,10.6,1.9,2.7,5.0,24.3,0.0,7.4,2.3,14.2,0.4,45.0,0.0,0.1,0.0,0.079,0.001,2.4,0.3,0.1,0.0,0.0,0.0,0.066,35.6,0.1,1.3,16.0,0.2,75.7,146.9,0.0,0.6,81.5,90.0,11.777777777777777,27.0,0.0,8.222222222222223,2.5555555555555554,0.4444444444444444,50.0,246.88888888888889
butter croissant,231,12.0,6.6,3.1,0.6,26.1,6.4,4.7,1.5,38.2,0.2,13.2,0.1,0.2,0.021,0.092,0.1,1.2,0.5,0.095,0.1,0.0,0.5,0.022,21.1,0.07,1.2,9.1,0.2,59.9,67.3,0.054,0.4,66.8,64.10000000000001,18.720748829953195,40.7176287051482,9.984399375975038,7.332293291731669,2.3400936037441493,0.3120124804992199,20.592823712948512,360.68642745709826
enchilada with cheese beef,323,17.6,9.0,6.1,1.4,30.5,0.0,11.9,0.0,40.3,1.3,128.4,0.016,0.056,0.075,0.036,0.4,2.5,1.4,0.3,1.3,0.0,0.0,0.0,228.5,0.5,3.1,82.6,0.6,167.0,574.1,0.092,2.7,292.933,189.7,9.277807063784925,16.078017923036374,0.0,6.2730627306273075,0.0,0.6852925672113864,67.68581971534002,172.90458618871904
corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,20.6,2.6,75.5,1.0,166.0,0.0,0.2,0.013,0.062,0.1,3.7,1.0,0.5,2.1,0.0,0.057,0.017,44.8,0.0,2.4,30.7,0.2,132.2,405.9,0.034,3.3,118.6,237.1,10.20666385491354,9.23660902572754,0.3374103753690426,8.688317165752848,1.0965837199493886,0.42176296921130324,70.01265288907635,163.55967946014343
biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.097,0.067,0.4,3.4,1.1,0.2,0.0,0.095,1.5,0.098,149.4,0.4,2.3,21.8,0.2,526.4,190.0,0.087,1.6,230.2,144.39999999999998,17.5207756232687,24.515235457063714,1.7313019390581719,12.049861495844876,0.20775623268698062,0.8310249307479225,43.144044321329645,303.94736842105266
bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7.0,26.7,0.4,242.6,1.3,88.7,0.2,0.7,0.1,0.048,0.6,6.0,1.4,0.1,0.0,0.001,1.2,0.018,185.3,0.4,4.1,40.1,0.4,397.3,261.7,0.098,2.4,287.6,195.0,9.487179487179487,26.87179487179487,3.5897435897435894,13.692307692307693,0.20512820512820512,0.6666666666666667,45.48717948717949,247.64102564102564
quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,76.7,0.1,0.4,0.073,0.012,0.3,7.6,0.0,0.1,0.2,0.1,0.5,0.03,484.2,0.1,3.2,45.0,0.5,563.4,329.4,0.025,2.6,588.7,182.4,15.076754385964911,23.739035087719294,1.8640350877192982,14.857456140350877,1.699561403508772,0.712719298245614,42.05043859649123,290.0767543859649
corn rice,110,0.3,0.02,0.0,0.1,25.2,3.0,1.8,0.4,0.0,0.2,1.1,0.2,1.8,0.0,0.0,1.1,8.6,0.007,1.7,11.2,0.0,0.035,0.0,2.9,0.013,9.9,5.5,0.2,22.3,30.5,0.043,2.2,51.9,32.0,0.9375,78.75,9.375,5.625,1.25,0.625,3.4375000000000004,345.9375
